appid	name	detailed_description
1177300	Space zone defender	Description Space zone defender is an oldschool arcade style space shooter. You can choose between different weapon sets and ship skins and try to survive as long as you can. You unlock upgrade points on every play depending on your points to increase your ships durability, shot speed and many other things. How long can you survive? What has the game at the moment? 3 ship skins 8 Upgrades 1 and 2 player (local) 7 game modes 3 difficulties 3 shot modes 64 achievements 5 Highscores ingame achievement view for steam achievements ingame highscore view for steam highscores 10 different enemies + 1 Boss enemy Controls 1 Player WASD and Space 2 Player Arrow Keys + Enter Whats planned In future? Depending on the sales are future updates planned for more enemies, more game modes, more upgrades and also other control systems likes mouse control in some modes. Before you buy it please ensure you know... that this is a little minigame and not a AAA game. You can see what you get in the screenshots and the video. The game can change with more content in the future. I tested all features, the achievements and highscores and tried to secure that all works without problems. If you have any problems /ideas feel free to contact me in the steam discussion board
1397000	Zodiac DX	Zodiac DX is a side-scrolling action game, based on the Zodiac comic by A.Young. Play as three everyday students who depart Earth on an adventure that spans the cosmos! ● 3 playable characters ● Tuned-up levels with Maniac challenge option ● Special boss rush and card game modes ● All-original graphics and soundtrack CONTROLS Gamepads are supported! Keyboard: 🆉 🆇 🅲 🆅 ↑ ↓ ← → ESC STYLE Foxy Boxy games are developed to express the 1985-1992 era of video games
2641420	Vindictive Drive 2: Maidbot Archive	A Mecha-Moe bullet hell Souls-Like , exploration, boss hunting, crafting, all that good stuff. It plays like a classic twin stick shooter on keyboard , using WASD to move and your mouse to aim. FEATURES At the time of writing this(0.7.3), the current build has: Maidbots: 20 Maidbots, from basic shooters to advanced supports and fighters Voice Acting: The Maidbots are voiced by professional Anime, TV/film and game VAs. 12 Bosses from basic to two stage Final Bosses, 30 different enemy types, all from basic to extreme complexity Upgrades and buffs that enable different builds 6 City Districts 2 Dungeons with different mechanics Community Driven Maidbot Production: You vote for your favorites, and suggest your own design ideas, I'll develop the game listening to those. The Maidbots have very diverse skill kits, from healers, to tanks, area of effect, dasher and more, you get to combine their skills with several buffs you find in game for a more powerful build. MANGA: VITAKROSIS, the first Mahou-Shoujo manga made in Uruguay Thanks to the Kickstarter campaign, the official manga is here, available to read for free online or get physical copies, check the website for more info. FUNDED ON KICKSTARTER Lots of cool stuff coming soon thanks to the community, a graphic and story rebuild, an original song by the voice of Memorimo, original cosplay and more! Made by one dude with a lot of coffee. Playing Vindictive Drive 1 is not required to understand the plot. 
2187670	Electrocop	Originally released in 1989, Electrocop for the Atari Lynx handheld console saw players take on the role of a high-tech cop tasked with rescuing the President's daughter, who was kidnapped by an evil robot, before she is killed. Now, relive those days in this remastered emulated version. The Criminal Brain has kidnapped the President's daughter and threatens to kill her if he does not get control of the world. Only you, Electrocop, can invade the Steel Complex where evil robots and dangerous traps protect the Criminal Brain. The odds are against you. Your only hope is to find the weapons and computer terminals hidden in the mazes of the Criminal Brain's fortress Can you save the President's daughter and serve justice to the world's most wicked criminal? It's your sworn duty as an officer of the law. This enhanced version introduces a number of modern features to this retro classic, including: Saving/loading the game at any point Support for most modern game controllers Full control remapping Image scaling and smoothing options 
1010520	Space Journey	Space Journey is a first-person space simulator. You will explore 6 levels: Asteroid Belt, Supernova, Orion, Infinite Space, Nebula and Dark Void. Explore the infinite space and collect red gas clouds to accumulate them into energy. Each gas cloud gives you 5% of your fuel. You can accelerate and maneuver, each acceleration takes 5% of your fuel, maneuvers take 1%-5% depending on your speed. If you run out of fuel, the ship will start to decelerate slowly. Avoid collisions with drifting asteroids, as this will damage ship's armour. If you run out of armour, the level will start from the beginning and all collected gas clouds will be lost. – Beautiful Graphic – Atmospheric Ambient and Game World – Supports Controller – Low System Requirements
760660	Retro Miami	Retro Miami - it's an adrenaline thriller, full of primitive brutality, deadly gunshots and roofing fights. The scene of action is the alternative city of Miami in 1989. In your favorite town came skinheads-Nazis, who if not you and your friends will free this city from violence, from drugs and from cruelty? You can hire volunteers if it becomes too difficult. Be cool and sweep everything in your path. You play as a former gangster, you don't like that in your town skinheads-Nazis. You gather a gang and come to their club, well, then post everything that is there. Your goal - to clean all life in its path and dodge bullets. Key Features: - Hire people in your gang - Dizzy skirmishes in the neon and bloody corridors of Miami under a crazy soundtrack - Crazy Shooter - Humor is combined with horror - Various levels - Various opponents and different weapons
1172290	ControlRoom	With ControlRoom you can interact with your music production software on your studio PC or Mac in a revolutionary new way. • Write expressive automation with your whole body by custom mapping any MIDI enabled DAW parameter to an array of expressive 3D tools. • Mix your tracks in a new and intuitive way with powerful DSP using the ControlRoom plugins which give you access to our Spatial Mixer, EQ and Compressor. •Control your transport, mixer, sends, and automation with the virtual mixing console. • Visualize frequency and phase information for each track in your DAW with the new Spectralyzer. • ControlRoom includes a remote desktop monitor for your session available inside the ControlRoom app so you can see your DAW without having to take off your headset. (When using supported GPUs) To learn how to set up ControlRoom, please click the 'View the Manual' button in the right sidebar or check out our Steam Forum post: Use ControlRoom in Standalone Mode to learn how to use and experience ControlRoom with our built-in tracks. ControlRoom officially supports Ableton Live and Pro Tools and supports most other DAWs but some functionality may be limited. Remote desktop is not supported on systems using hybrid GPUs found on some laptops. Welcome to the future of your music production workflow. Step out the box, into ControlRoom. 
1326000	Sakura Succubus 2	Ogasawara Hiroki is a thoroughly average man… or, at least, he was. That soon changed, however, when a meeting with one of Japan’s most famous idols turns his life upside down. Hiroki soon learns, after a series of increasingly improbable events, that several of Japan’s most famous female celebs are actually succubi – and his scent makes him irresistible to them! Now, three beautiful women are vying for his attention: the two-faced idol Ayu, the mature businesswoman Marina, and the ditzy social media star, Cosmos. It’s hard enough for Hiroki to juggle his demanding job as a photographer with three potential girlfriends, but things are about to get even harder. A refined actress, Hifumi, now has her eye on Hiroki, as does a cheery sportswoman, Hazel. Hiroki’s harem is set to gain even more members… But does he have enough time and energy to give these women what they want? Ayu is a famous idol known throughout Japan. She’s famous for her good looks and her cutesy stage persona, but all this is a front. Unbeknownst to Ayu’s loyal fans, she’s secretly a foul-tempered brat who loves money above all else. She isn’t a particularly pleasant person, but she knows how to turn on the charm whenever she wants something – but alas! Hiroki knows too much of her wily ways to be fooled. Marina is a wealthy businesswoman who owns her own company. She’s only thirty-one, but she’s incredibly successful, and courts a good deal of awe and respect from the upper echelons of society. She has a bit of a sadistic streak, and likes to tease Hiroki, but she (unlike Ayu) knows when to draw the line, and would never deliberately hurt someone she cares for. Cosmos is a social media star with a huge presence on RapidPound. She has over three million followers, and she devotes herself to them fully: forever taking photos of herself dressed up in cute, slightly suggestive outfits. Though Cosmos has a lot of fans, she doesn’t have very many friends. Teased by her fellow succubi for her slow, spacey nature, Cosmos finds it hard to gauge how she’s supposed to interact with others. No matter what she does or says, it never comes out quite right. For a ‘social’ media star, she finds being ‘social’ incredibly hard! Hifumi is an actress who has been a staple of the Japanese movie industry since the tender age of eighteen. Now a veteran, with many years on the silver screen under her belt, her name is a household one, and she has legions of fans across the globe. Hifumi is a refined, elegant woman who loves all things quintessentially Japanese. The very definition of a ‘Yamato Nadeshiko’, Hifumi is diligent, caring, and incredibly good at cooking… But, for some reason, Ayu and Cosmos seem to distrust her. Perhaps there’s more behind her sweet smile than she lets on? Hazel is an up-and-coming tennis star born from a Japanese mother and an American father. A cheerful and energetic girl, Hazel approaches life with nothing less than 110%, and she’s almost always seen with a blinding smile. Though relatively young, she demands a captive audience during every match, and has quite the fanbase. She’s so bubbly, it really is impossible to hate her! There are several curious rumors circulating about her online, however, which catch Hiroki’s interest. Hazel’s hiding far more than her wide grin suggests!
2853760	Paris Simulator	This is a realistic real life simulator where you can walk around Paris Interested in playing a real life simulator. This game is for you 1. Walk around Paris and see the Eifel Tower. 2. Go up to the top of the Eifel tower and walk around 3. See trees, NPC's 4. Experience a 3d Realistic game in first person Were a team of disabled creators, we are working hard and we want to build great games. Thank you for believing in us
1486180	Weatherworn: The Adventure of Pap & Pup	Weatherworn: The Adventure of Pap &amp; Pup is an all-ages adventure following the young Pup and their astronaut grandfather Pap. The stranded pair investigate a dangerous world. A retro RPG with a modern pace about the seasons of life. KEY FEATURES -A unique story-driven experience following Pap &amp; Pup. -Fun mix between adventure game elements and classic RPG aesthetics. -Hand drawn cutscenes inspired from comic book art. -A bitesize length for those with limited playtime. -Great music and voice cast. -Plenty of secrets! CONTROLS As simple as arrow keys, Escape, and Return/Enter. Or, go controller.
