appid	name	detailed_description
1177300	space zone defender	description space zone defender is an oldschool arcade style space shooter. you can choose between different weapon sets and ship skins and try to survive as long as you can. you unlock upgrade points on every play depending on your points to increase your ships durability, shot speed and many other things. how long can you survive? what has the game at the moment? 3 ship skins 8 upgrades 1 and 2 player (local) 7 game modes 3 difficulties 3 shot modes 64 achievements 5 highscores ingame achievement view for steam achievements ingame highscore view for steam highscores 10 different enemies + 1 boss enemy controls 1 player wasd and space 2 player arrow keys + enter whats planned in future? depending on the sales are future updates planned for more enemies, more game modes, more upgrades and also other control systems likes mouse control in some modes. before you buy it please ensure you know... that this is a little minigame and not a aaa game. you can see what you get in the screenshots and the video. the game can change with more content in the future. i tested all features, the achievements and highscores and tried to secure that all works without problems. if you have any problems /ideas feel free to contact me in the steam discussion board
1397000	zodiac dx	zodiac dx is a side-scrolling action game, based on the zodiac comic by a.young. play as three everyday students who depart earth on an adventure that spans the cosmos! ● 3 playable characters ● tuned-up levels with maniac challenge option ● special boss rush and card game modes ● all-original graphics and soundtrack controls gamepads are supported! keyboard: 🆉 🆇 🅲 🆅 ↑ ↓ ← → esc style foxy boxy games are developed to express the 1985-1992 era of video games
2641420	vindictive drive 2: maidbot archive	a mecha-moe bullet hell souls-like , exploration, boss hunting, crafting, all that good stuff. it plays like a classic twin stick shooter on keyboard , using wasd to move and your mouse to aim. features at the time of writing this(0.7.3), the current build has: maidbots: 20 maidbots, from basic shooters to advanced supports and fighters voice acting: the maidbots are voiced by professional anime, tv/film and game vas. 12 bosses from basic to two stage final bosses, 30 different enemy types, all from basic to extreme complexity upgrades and buffs that enable different builds 6 city districts 2 dungeons with different mechanics community driven maidbot production: you vote for your favorites, and suggest your own design ideas, i'll develop the game listening to those. the maidbots have very diverse skill kits, from healers, to tanks, area of effect, dasher and more, you get to combine their skills with several buffs you find in game for a more powerful build. manga: vitakrosis, the first mahou-shoujo manga made in uruguay thanks to the kickstarter campaign, the official manga is here, available to read for free online or get physical copies, check the website for more info. funded on kickstarter lots of cool stuff coming soon thanks to the community, a graphic and story rebuild, an original song by the voice of memorimo, original cosplay and more! made by one dude with a lot of coffee. playing vindictive drive 1 is not required to understand the plot.
2187670	electrocop	originally released in 1989, electrocop for the atari lynx handheld console saw players take on the role of a high-tech cop tasked with rescuing the president's daughter, who was kidnapped by an evil robot, before she is killed. now, relive those days in this remastered emulated version. the criminal brain has kidnapped the president's daughter and threatens to kill her if he does not get control of the world. only you, electrocop, can invade the steel complex where evil robots and dangerous traps protect the criminal brain. the odds are against you. your only hope is to find the weapons and computer terminals hidden in the mazes of the criminal brain's fortress can you save the president's daughter and serve justice to the world's most wicked criminal? it's your sworn duty as an officer of the law. this enhanced version introduces a number of modern features to this retro classic, including: saving/loading the game at any point support for most modern game controllers full control remapping image scaling and smoothing options
1010520	space journey	space journey is a first-person space simulator. you will explore 6 levels: asteroid belt, supernova, orion, infinite space, nebula and dark void. explore the infinite space and collect red gas clouds to accumulate them into energy. each gas cloud gives you 5% of your fuel. you can accelerate and maneuver, each acceleration takes 5% of your fuel, maneuvers take 1%-5% depending on your speed. if you run out of fuel, the ship will start to decelerate slowly. avoid collisions with drifting asteroids, as this will damage ship's armour. if you run out of armour, the level will start from the beginning and all collected gas clouds will be lost. – beautiful graphic – atmospheric ambient and game world – supports controller – low system requirements
760660	retro miami	retro miami - it's an adrenaline thriller, full of primitive brutality, deadly gunshots and roofing fights. the scene of action is the alternative city of miami in 1989. in your favorite town came skinheads-nazis, who if not you and your friends will free this city from violence, from drugs and from cruelty? you can hire volunteers if it becomes too difficult. be cool and sweep everything in your path. you play as a former gangster, you don't like that in your town skinheads-nazis. you gather a gang and come to their club, well, then post everything that is there. your goal - to clean all life in its path and dodge bullets. key features: - hire people in your gang - dizzy skirmishes in the neon and bloody corridors of miami under a crazy soundtrack - crazy shooter - humor is combined with horror - various levels - various opponents and different weapons
1172290	controlroom	with controlroom you can interact with your music production software on your studio pc or mac in a revolutionary new way. • write expressive automation with your whole body by custom mapping any midi enabled daw parameter to an array of expressive 3d tools. • mix your tracks in a new and intuitive way with powerful dsp using the controlroom plugins which give you access to our spatial mixer, eq and compressor. •control your transport, mixer, sends, and automation with the virtual mixing console. • visualize frequency and phase information for each track in your daw with the new spectralyzer. • controlroom includes a remote desktop monitor for your session available inside the controlroom app so you can see your daw without having to take off your headset. (when using supported gpus) to learn how to set up controlroom, please click the 'view the manual' button in the right sidebar or check out our steam forum post: use controlroom in standalone mode to learn how to use and experience controlroom with our built-in tracks. controlroom officially supports ableton live and pro tools and supports most other daws but some functionality may be limited. remote desktop is not supported on systems using hybrid gpus found on some laptops. welcome to the future of your music production workflow. step out the box, into controlroom.
1326000	sakura succubus 2	ogasawara hiroki is a thoroughly average man… or, at least, he was. that soon changed, however, when a meeting with one of japan’s most famous idols turns his life upside down. hiroki soon learns, after a series of increasingly improbable events, that several of japan’s most famous female celebs are actually succubi – and his scent makes him irresistible to them! now, three beautiful women are vying for his attention: the two-faced idol ayu, the mature businesswoman marina, and the ditzy social media star, cosmos. it’s hard enough for hiroki to juggle his demanding job as a photographer with three potential girlfriends, but things are about to get even harder. a refined actress, hifumi, now has her eye on hiroki, as does a cheery sportswoman, hazel. hiroki’s harem is set to gain even more members… but does he have enough time and energy to give these women what they want? ayu is a famous idol known throughout japan. she’s famous for her good looks and her cutesy stage persona, but all this is a front. unbeknownst to ayu’s loyal fans, she’s secretly a foul-tempered brat who loves money above all else. she isn’t a particularly pleasant person, but she knows how to turn on the charm whenever she wants something – but alas! hiroki knows too much of her wily ways to be fooled. marina is a wealthy businesswoman who owns her own company. she’s only thirty-one, but she’s incredibly successful, and courts a good deal of awe and respect from the upper echelons of society. she has a bit of a sadistic streak, and likes to tease hiroki, but she (unlike ayu) knows when to draw the line, and would never deliberately hurt someone she cares for. cosmos is a social media star with a huge presence on rapidpound. she has over three million followers, and she devotes herself to them fully: forever taking photos of herself dressed up in cute, slightly suggestive outfits. though cosmos has a lot of fans, she doesn’t have very many friends. teased by her fellow succubi for her slow, spacey nature, cosmos finds it hard to gauge how she’s supposed to interact with others. no matter what she does or says, it never comes out quite right. for a ‘social’ media star, she finds being ‘social’ incredibly hard! hifumi is an actress who has been a staple of the japanese movie industry since the tender age of eighteen. now a veteran, with many years on the silver screen under her belt, her name is a household one, and she has legions of fans across the globe. hifumi is a refined, elegant woman who loves all things quintessentially japanese. the very definition of a ‘yamato nadeshiko’, hifumi is diligent, caring, and incredibly good at cooking… but, for some reason, ayu and cosmos seem to distrust her. perhaps there’s more behind her sweet smile than she lets on? hazel is an up-and-coming tennis star born from a japanese mother and an american father. a cheerful and energetic girl, hazel approaches life with nothing less than 110%, and she’s almost always seen with a blinding smile. though relatively young, she demands a captive audience during every match, and has quite the fanbase. she’s so bubbly, it really is impossible to hate her! there are several curious rumors circulating about her online, however, which catch hiroki’s interest. hazel’s hiding far more than her wide grin suggests!
2853760	paris simulator	this is a realistic real life simulator where you can walk around paris interested in playing a real life simulator. this game is for you 1. walk around paris and see the eifel tower. 2. go up to the top of the eifel tower and walk around 3. see trees, npc's 4. experience a 3d realistic game in first person were a team of disabled creators, we are working hard and we want to build great games. thank you for believing in us
1486180	weatherworn: the adventure of pap & pup	weatherworn: the adventure of pap &amp; pup is an all-ages adventure following the young pup and their astronaut grandfather pap. the stranded pair investigate a dangerous world. a retro rpg with a modern pace about the seasons of life. key features -a unique story-driven experience following pap &amp; pup. -fun mix between adventure game elements and classic rpg aesthetics. -hand drawn cutscenes inspired from comic book art. -a bitesize length for those with limited playtime. -great music and voice cast. -plenty of secrets! controls as simple as arrow keys, escape, and return/enter. or, go controller.
